geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract,poverty_rate,unemployment_rate,homeownership_rate,rent_to_income_ratio,tract_geoid
Census Tract 1; Shelby County; Tennessee,5420.0,32.5,65236.0,5307.0,680.0,3499.0,103.0,3435.0,1172.0,2263.0,1713.0,440400.0,47,157,000100,12.81,2.94,34.12,0.315,47157000100
Census Tract 37; Shelby County; Tennessee,1282.0,39.2,17266.0,1185.0,542.0,444.0,14.0,742.0,7.0,735.0,939.0,,47,157,003700,45.74,3.15,0.94,0.653,47157003700
Census Tract 38; Shelby County; Tennessee,699.0,41.0,20560.0,564.0,188.0,364.0,30.0,433.0,6.0,427.0,910.0,,47,157,003800,33.33,8.24,1.39,0.531,47157003800
Census Tract 39; Shelby County; Tennessee,1384.0,41.4,19139.0,1374.0,623.0,856.0,27.0,1067.0,0.0,1067.0,978.0,,47,157,003900,45.34,3.15,0.0,0.613,47157003900
Census Tract 42; Shelby County; Tennessee,3445.0,36.2,90673.0,3445.0,121.0,2996.0,54.0,2494.0,633.0,1861.0,1436.0,316100.0,47,157,004200,3.51,1.8,25.38,0.19,47157004200
Census Tract 43; Shelby County; Tennessee,2926.0,37.0,79078.0,2926.0,256.0,2236.0,0.0,2055.0,845.0,1210.0,1585.0,391600.0,47,157,004300,8.75,0.0,41.12,0.241,47157004300
Census Tract 45; Shelby County; Tennessee,673.0,31.9,30417.0,673.0,353.0,295.0,11.0,361.0,45.0,316.0,616.0,,47,157,004500,52.45,3.73,12.47,0.243,47157004500
Census Tract 46; Shelby County; Tennessee,1559.0,37.2,53733.0,1505.0,283.0,842.0,25.0,698.0,207.0,491.0,1036.0,243300.0,47,157,004600,18.8,2.97,29.66,0.231,47157004600
Census Tract 50; Shelby County; Tennessee,968.0,29.8,12132.0,968.0,715.0,279.0,70.0,428.0,35.0,393.0,751.0,,47,157,005000,73.86,25.09,8.18,0.743,47157005000
Census Tract 53; Shelby County; Tennessee,2606.0,43.9,30556.0,2606.0,1112.0,1005.0,154.0,1170.0,439.0,731.0,802.0,58600.0,47,157,005300,42.67,15.32,37.52,0.315,47157005300
Census Tract 55; Shelby County; Tennessee,2062.0,40.5,29315.0,2038.0,736.0,902.0,187.0,771.0,363.0,408.0,789.0,,47,157,005500,36.11,20.73,47.08,0.323,47157005500
Census Tract 56; Shelby County; Tennessee,3417.0,42.5,33730.0,3417.0,1446.0,1462.0,240.0,1377.0,596.0,781.0,955.0,72700.0,47,157,005600,42.32,16.42,43.28,0.34,47157005600
Census Tract 57; Shelby County; Tennessee,1745.0,44.7,29014.0,1745.0,631.0,803.0,91.0,770.0,158.0,612.0,956.0,41600.0,47,157,005700,36.16,11.33,20.52,0.395,47157005700
Census Tract 58; Shelby County; Tennessee,1096.0,28.1,17344.0,981.0,651.0,263.0,114.0,334.0,40.0,294.0,795.0,,47,157,005800,66.36,43.35,11.98,0.55,47157005800
Census Tract 59; Shelby County; Tennessee,2082.0,33.6,14982.0,2077.0,1737.0,482.0,211.0,567.0,251.0,316.0,913.0,61800.0,47,157,005900,83.63,43.78,44.27,0.731,47157005900
Census Tract 60; Shelby County; Tennessee,1633.0,41.7,29120.0,1633.0,654.0,646.0,121.0,684.0,310.0,374.0,984.0,55800.0,47,157,006000,40.05,18.73,45.32,0.405,47157006000
Census Tract 62; Shelby County; Tennessee,1635.0,42.2,39181.0,1635.0,259.0,660.0,128.0,673.0,484.0,189.0,1145.0,77200.0,47,157,006200,15.84,19.39,71.92,0.351,47157006200
Census Tract 63; Shelby County; Tennessee,2248.0,39.3,77917.0,2248.0,226.0,1523.0,65.0,1121.0,785.0,336.0,1457.0,304400.0,47,157,006300,10.05,4.27,70.03,0.224,47157006300
Census Tract 64; Shelby County; Tennessee,1474.0,45.1,60573.0,1474.0,211.0,818.0,52.0,627.0,387.0,240.0,980.0,160800.0,47,157,006400,14.31,6.36,61.72,0.194,47157006400
Census Tract 65; Shelby County; Tennessee,2091.0,34.1,40382.0,2091.0,717.0,918.0,90.0,971.0,353.0,618.0,960.0,85500.0,47,157,006500,34.29,9.8,36.35,0.285,47157006500
Census Tract 66; Shelby County; Tennessee,2133.0,39.0,59620.0,2133.0,243.0,1308.0,69.0,1197.0,482.0,715.0,1253.0,268700.0,47,157,006600,11.39,5.28,40.27,0.252,47157006600
Census Tract 67; Shelby County; Tennessee,2612.0,45.8,31559.0,2610.0,658.0,1358.0,288.0,1291.0,406.0,885.0,989.0,75200.0,47,157,006700,25.21,21.21,31.45,0.376,47157006700
Census Tract 68; Shelby County; Tennessee,2043.0,35.8,37845.0,2027.0,653.0,926.0,191.0,898.0,395.0,503.0,813.0,93000.0,47,157,006800,32.22,20.63,43.99,0.258,47157006800
Census Tract 69; Shelby County; Tennessee,2234.0,46.4,40972.0,2234.0,823.0,1065.0,170.0,993.0,491.0,502.0,1069.0,83200.0,47,157,006900,36.84,15.96,49.45,0.313,47157006900
Census Tract 70; Shelby County; Tennessee,2636.0,29.0,23653.0,2636.0,1344.0,1335.0,279.0,1369.0,249.0,1120.0,1091.0,103700.0,47,157,007000,50.99,20.9,18.19,0.554,47157007000
Census Tract 71; Shelby County; Tennessee,2518.0,45.8,124583.0,2518.0,126.0,1358.0,10.0,1089.0,984.0,105.0,1007.0,650200.0,47,157,007100,5.0,0.74,90.36,0.097,47157007100
Census Tract 72; Shelby County; Tennessee,2782.0,31.4,88411.0,2771.0,458.0,2035.0,110.0,1615.0,809.0,806.0,1694.0,303200.0,47,157,007200,16.53,5.41,50.09,0.23,47157007200
Census Tract 73; Shelby County; Tennessee,3837.0,23.3,36908.0,2527.0,782.0,2283.0,135.0,1621.0,358.0,1263.0,955.0,356200.0,47,157,007300,30.95,5.91,22.09,0.311,47157007300
Census Tract 74; Shelby County; Tennessee,3178.0,25.7,38201.0,3105.0,1304.0,2025.0,113.0,1503.0,343.0,1160.0,1171.0,166200.0,47,157,007400,42.0,5.58,22.82,0.368,47157007400
Census Tract 75; Shelby County; Tennessee,1188.0,48.4,30542.0,1188.0,245.0,474.0,100.0,562.0,312.0,250.0,1055.0,74800.0,47,157,007500,20.62,21.1,55.52,0.415,47157007500
Census Tract 78.10; Shelby County; Tennessee,1980.0,47.0,29630.0,1980.0,640.0,785.0,39.0,1096.0,518.0,578.0,931.0,75800.0,47,157,007810,32.32,4.97,47.26,0.377,47157007810
Census Tract 78.21; Shelby County; Tennessee,4099.0,50.9,44643.0,4099.0,1594.0,1895.0,135.0,2184.0,841.0,1343.0,911.0,79900.0,47,157,007821,38.89,7.12,38.51,0.245,47157007821
Census Tract 78.22; Shelby County; Tennessee,1316.0,43.5,30256.0,1316.0,455.0,528.0,50.0,588.0,379.0,209.0,1040.0,67100.0,47,157,007822,34.57,9.47,64.46,0.412,47157007822
Census Tract 79; Shelby County; Tennessee,4590.0,50.5,35644.0,4522.0,943.0,1961.0,344.0,2079.0,1108.0,971.0,987.0,78900.0,47,157,007900,20.85,17.54,53.29,0.332,47157007900
Census Tract 80; Shelby County; Tennessee,4732.0,36.9,55694.0,4732.0,1382.0,2282.0,167.0,1843.0,656.0,1187.0,1182.0,99300.0,47,157,008000,29.21,7.32,35.59,0.255,47157008000
Census Tract 81.10; Shelby County; Tennessee,1857.0,27.4,31354.0,1845.0,819.0,776.0,147.0,599.0,261.0,338.0,906.0,78400.0,47,157,008110,44.39,18.94,43.57,0.347,47157008110
Census Tract 81.20; Shelby County; Tennessee,3933.0,45.5,29213.0,3933.0,1210.0,2072.0,447.0,1940.0,901.0,1039.0,744.0,67700.0,47,157,008120,30.77,21.57,46.44,0.306,47157008120
Census Tract 82; Shelby County; Tennessee,5815.0,21.2,35260.0,5229.0,2448.0,1788.0,88.0,1470.0,456.0,1014.0,1299.0,62700.0,47,157,008200,46.82,4.92,31.02,0.442,47157008200
Census Tract 85; Shelby County; Tennessee,4143.0,48.7,182250.0,4143.0,275.0,1885.0,37.0,1696.0,1419.0,277.0,1255.0,642500.0,47,157,008500,6.64,1.96,83.67,0.083,47157008500
Census Tract 86; Shelby County; Tennessee,5643.0,38.8,88519.0,5633.0,426.0,2869.0,64.0,2461.0,1562.0,899.0,1378.0,390100.0,47,157,008600,7.56,2.23,63.47,0.187,47157008600
Census Tract 87; Shelby County; Tennessee,5833.0,30.3,45282.0,5833.0,1982.0,2573.0,3.0,2019.0,1081.0,938.0,1139.0,133000.0,47,157,008700,33.98,0.12,53.54,0.302,47157008700
Census Tract 88; Shelby County; Tennessee,7862.0,27.3,41583.0,7807.0,1502.0,3058.0,76.0,2242.0,1185.0,1057.0,1074.0,92200.0,47,157,008800,19.24,2.49,52.85,0.31,47157008800
Census Tract 89; Shelby County; Tennessee,4090.0,34.9,41635.0,4090.0,843.0,1999.0,210.0,1389.0,851.0,538.0,1120.0,76400.0,47,157,008900,20.61,10.51,61.27,0.323,47157008900
Census Tract 91; Shelby County; Tennessee,3039.0,30.9,39344.0,2931.0,929.0,1312.0,80.0,948.0,495.0,453.0,1016.0,95300.0,47,157,009100,31.7,6.1,52.22,0.31,47157009100
Census Tract 92.01; Shelby County; Tennessee,3139.0,37.3,111652.0,3139.0,64.0,1756.0,28.0,1467.0,1229.0,238.0,1718.0,346600.0,47,157,009201,2.04,1.59,83.78,0.185,47157009201
Census Tract 92.02; Shelby County; Tennessee,3690.0,33.4,99774.0,3688.0,190.0,2169.0,73.0,1465.0,1129.0,336.0,1629.0,297100.0,47,157,009202,5.15,3.37,77.06,0.196,47157009202
Census Tract 93; Shelby County; Tennessee,3698.0,34.4,61383.0,3681.0,872.0,1993.0,145.0,1878.0,1236.0,642.0,1381.0,217800.0,47,157,009300,23.69,7.28,65.81,0.27,47157009300
Census Tract 94; Shelby County; Tennessee,3118.0,40.9,78563.0,3118.0,163.0,1954.0,10.0,1598.0,1203.0,395.0,1475.0,210100.0,47,157,009400,5.23,0.51,75.28,0.225,47157009400
Census Tract 95.01; Shelby County; Tennessee,3237.0,33.2,79089.0,3192.0,358.0,2038.0,24.0,1349.0,940.0,409.0,1622.0,213400.0,47,157,009501,11.22,1.18,69.68,0.246,47157009501
Census Tract 95.02; Shelby County; Tennessee,3304.0,52.4,88625.0,3304.0,167.0,1872.0,176.0,1506.0,1353.0,153.0,1427.0,260700.0,47,157,009502,5.05,9.4,89.84,0.193,47157009502
Census Tract 96; Shelby County; Tennessee,4759.0,48.6,169847.0,4732.0,515.0,2387.0,62.0,2034.0,1689.0,345.0,2165.0,531900.0,47,157,009600,10.88,2.6,83.04,0.153,47157009600
Census Tract 97; Shelby County; Tennessee,2848.0,32.6,51074.0,2848.0,562.0,1344.0,131.0,939.0,470.0,469.0,1478.0,116800.0,47,157,009700,19.73,9.75,50.05,0.347,47157009700
Census Tract 98; Shelby County; Tennessee,2524.0,37.7,62819.0,2524.0,501.0,1084.0,38.0,1056.0,531.0,525.0,1195.0,117200.0,47,157,009800,19.85,3.51,50.28,0.228,47157009800
Census Tract 99.01; Shelby County; Tennessee,3118.0,30.4,43655.0,3118.0,1405.0,1223.0,130.0,1029.0,419.0,610.0,1156.0,67200.0,47,157,009901,45.06,10.63,40.72,0.318,47157009901
Census Tract 99.02; Shelby County; Tennessee,2030.0,29.2,20563.0,2019.0,1004.0,824.0,163.0,861.0,309.0,552.0,1069.0,58200.0,47,157,009902,49.73,19.78,35.89,0.624,47157009902
Census Tract 100.01; Shelby County; Tennessee,3009.0,43.0,43527.0,3009.0,516.0,1404.0,20.0,1191.0,605.0,586.0,1316.0,82100.0,47,157,010001,17.15,1.42,50.8,0.363,47157010001
Census Tract 100.02; Shelby County; Tennessee,2996.0,35.1,36495.0,2952.0,755.0,1463.0,256.0,1227.0,555.0,672.0,1121.0,95400.0,47,157,010002,25.58,17.5,45.23,0.369,47157010002
Census Tract 101.20; Shelby County; Tennessee,5214.0,20.9,26112.0,5214.0,3364.0,1574.0,319.0,1623.0,619.0,1004.0,1025.0,79000.0,47,157,010120,64.52,20.27,38.14,0.471,47157010120
Census Tract 101.21; Shelby County; Tennessee,2443.0,33.4,25515.0,2441.0,1061.0,1046.0,278.0,960.0,366.0,594.0,1371.0,85400.0,47,157,010121,43.47,26.58,38.12,0.645,47157010121
Census Tract 101.22; Shelby County; Tennessee,3315.0,21.6,25123.0,3315.0,1916.0,975.0,130.0,978.0,182.0,796.0,967.0,107800.0,47,157,010122,57.8,13.33,18.61,0.462,47157010122
Census Tract 102.10; Shelby County; Tennessee,5979.0,33.2,41373.0,5979.0,1474.0,2456.0,194.0,2055.0,902.0,1153.0,1216.0,84800.0,47,157,010210,24.65,7.9,43.89,0.353,47157010210
Census Tract 102.20; Shelby County; Tennessee,6127.0,37.0,39899.0,6127.0,2075.0,2142.0,271.0,2463.0,1174.0,1289.0,1131.0,118600.0,47,157,010220,33.87,12.65,47.67,0.34,47157010220
Census Tract 103; Shelby County; Tennessee,1499.0,29.0,32941.0,1499.0,490.0,591.0,63.0,622.0,263.0,359.0,1169.0,111200.0,47,157,010300,32.69,10.66,42.28,0.426,47157010300
Census Tract 105; Shelby County; Tennessee,2844.0,31.0,27875.0,2544.0,1083.0,982.0,69.0,1069.0,106.0,963.0,1156.0,67300.0,47,157,010500,42.57,7.03,9.92,0.498,47157010500
Census Tract 106.10; Shelby County; Tennessee,5879.0,25.4,37741.0,5856.0,2321.0,2334.0,54.0,2118.0,617.0,1501.0,1210.0,83100.0,47,157,010610,39.63,2.31,29.13,0.385,47157010610
Census Tract 106.20; Shelby County; Tennessee,3409.0,26.6,41638.0,3409.0,1088.0,1398.0,181.0,1114.0,290.0,824.0,1131.0,95700.0,47,157,010620,31.92,12.95,26.03,0.326,47157010620
Census Tract 106.30; Shelby County; Tennessee,4154.0,25.2,38030.0,4154.0,1573.0,1666.0,228.0,1221.0,300.0,921.0,1043.0,106800.0,47,157,010630,37.87,13.69,24.57,0.329,47157010630
Census Tract 107.10; Shelby County; Tennessee,3959.0,33.7,48995.0,3959.0,808.0,1868.0,247.0,1348.0,783.0,565.0,1445.0,124000.0,47,157,010710,20.41,13.22,58.09,0.354,47157010710
Census Tract 107.20; Shelby County; Tennessee,3648.0,32.5,50267.0,3648.0,689.0,1981.0,224.0,1436.0,492.0,944.0,1169.0,172300.0,47,157,010720,18.89,11.31,34.26,0.279,47157010720
Census Tract 108.10; Shelby County; Tennessee,6653.0,28.5,58581.0,6653.0,2021.0,3371.0,347.0,1779.0,792.0,987.0,1216.0,122700.0,47,157,010810,30.38,10.29,44.52,0.249,47157010810
Census Tract 108.20; Shelby County; Tennessee,4859.0,33.7,62629.0,4812.0,885.0,2200.0,187.0,1603.0,848.0,755.0,1347.0,167000.0,47,157,010820,18.39,8.5,52.9,0.258,47157010820
Census Tract 110.10; Shelby County; Tennessee,3525.0,26.9,48490.0,3525.0,729.0,1509.0,81.0,1267.0,698.0,569.0,980.0,118100.0,47,157,011010,20.68,5.37,55.09,0.243,47157011010
Census Tract 110.20; Shelby County; Tennessee,1375.0,30.9,43140.0,1375.0,542.0,685.0,62.0,598.0,275.0,323.0,1132.0,100400.0,47,157,011020,39.42,9.05,45.99,0.315,47157011020
Census Tract 111; Shelby County; Tennessee,1549.0,44.7,26842.0,1549.0,583.0,504.0,72.0,696.0,274.0,422.0,811.0,60700.0,47,157,011100,37.64,14.29,39.37,0.363,47157011100
Census Tract 112; Shelby County; Tennessee,946.0,49.9,30825.0,946.0,348.0,333.0,81.0,549.0,193.0,356.0,873.0,45100.0,47,157,011200,36.79,24.32,35.15,0.34,47157011200
Census Tract 113; Shelby County; Tennessee,1221.0,37.2,42462.0,1205.0,257.0,710.0,90.0,726.0,122.0,604.0,1030.0,78000.0,47,157,011300,21.33,12.68,16.8,0.291,47157011300
Census Tract 114.01; Shelby County; Tennessee,1625.0,28.6,39555.0,1625.0,454.0,763.0,66.0,756.0,39.0,717.0,1026.0,,47,157,011401,27.94,8.65,5.16,0.311,47157011401
Census Tract 114.02; Shelby County; Tennessee,3763.0,36.1,32859.0,1749.0,601.0,869.0,36.0,1087.0,0.0,1087.0,1251.0,,47,157,011402,34.36,4.14,0.0,0.457,47157011402
Census Tract 115; Shelby County; Tennessee,1925.0,42.5,27460.0,1879.0,850.0,559.0,216.0,667.0,174.0,493.0,832.0,60300.0,47,157,011500,45.24,38.64,26.09,0.364,47157011500
Census Tract 116; Shelby County; Tennessee,2071.0,21.3,18182.0,1957.0,1209.0,632.0,160.0,776.0,220.0,556.0,686.0,58700.0,47,157,011600,61.78,25.32,28.35,0.453,47157011600
Census Tract 117; Shelby County; Tennessee,1036.0,44.5,43875.0,952.0,273.0,509.0,70.0,489.0,226.0,263.0,798.0,123900.0,47,157,011700,28.68,13.75,46.22,0.218,47157011700
Census Tract 118; Shelby County; Tennessee,6680.0,26.3,55694.0,6680.0,1372.0,3598.0,428.0,2037.0,945.0,1092.0,1259.0,96700.0,47,157,011800,20.54,11.9,46.39,0.271,47157011800
Census Tract 201.01; Shelby County; Tennessee,4088.0,30.8,57917.0,4088.0,784.0,1844.0,94.0,1454.0,701.0,753.0,1281.0,123900.0,47,157,020101,19.18,5.1,48.21,0.265,47157020101
Census Tract 201.02; Shelby County; Tennessee,2912.0,53.8,72664.0,2886.0,443.0,955.0,33.0,1081.0,868.0,213.0,1607.0,301500.0,47,157,020102,15.35,3.46,80.3,0.265,47157020102
Census Tract 202.10; Shelby County; Tennessee,5542.0,35.8,48962.0,5502.0,683.0,2737.0,62.0,2385.0,1291.0,1094.0,1273.0,118500.0,47,157,020210,12.41,2.27,54.13,0.312,47157020210
Census Tract 202.21; Shelby County; Tennessee,2993.0,43.5,63145.0,2983.0,305.0,1340.0,75.0,1156.0,931.0,225.0,1107.0,239400.0,47,157,020221,10.22,5.6,80.54,0.21,47157020221
Census Tract 202.22; Shelby County; Tennessee,2804.0,33.1,98406.0,2804.0,181.0,1481.0,6.0,981.0,790.0,191.0,1294.0,179800.0,47,157,020222,6.46,0.41,80.53,0.158,47157020222
Census Tract 203.01; Shelby County; Tennessee,1456.0,50.4,101250.0,1456.0,25.0,799.0,99.0,549.0,491.0,58.0,1705.0,291200.0,47,157,020301,1.72,12.39,89.44,0.202,47157020301
Census Tract 203.02; Shelby County; Tennessee,3196.0,32.9,39110.0,3079.0,1189.0,1249.0,81.0,1579.0,622.0,957.0,928.0,248300.0,47,157,020302,38.62,6.49,39.39,0.285,47157020302
Census Tract 204; Shelby County; Tennessee,930.0,28.6,98125.0,828.0,23.0,194.0,8.0,276.0,0.0,276.0,1444.0,,47,157,020400,2.78,4.12,0.0,0.177,47157020400
Census Tract 205.11; Shelby County; Tennessee,2315.0,38.6,87080.0,2309.0,220.0,1441.0,25.0,845.0,650.0,195.0,1357.0,152100.0,47,157,020511,9.53,1.73,76.92,0.187,47157020511
Census Tract 205.21; Shelby County; Tennessee,3615.0,27.1,37342.0,3615.0,804.0,1093.0,42.0,1307.0,454.0,853.0,1296.0,95300.0,47,157,020521,22.24,3.84,34.74,0.416,47157020521
Census Tract 205.23; Shelby County; Tennessee,3767.0,25.2,43182.0,3676.0,1441.0,1402.0,224.0,1174.0,226.0,948.0,1238.0,100400.0,47,157,020523,39.2,15.98,19.25,0.344,47157020523
Census Tract 205.24; Shelby County; Tennessee,4416.0,37.3,54972.0,4416.0,818.0,2468.0,91.0,1617.0,903.0,714.0,1250.0,93100.0,47,157,020524,18.52,3.69,55.84,0.273,47157020524
Census Tract 205.31; Shelby County; Tennessee,5398.0,28.1,55329.0,5385.0,1105.0,2381.0,50.0,1689.0,852.0,837.0,1600.0,153500.0,47,157,020531,20.52,2.1,50.44,0.347,47157020531
Census Tract 205.32; Shelby County; Tennessee,5407.0,49.4,44833.0,5248.0,812.0,2224.0,119.0,2211.0,1076.0,1135.0,1287.0,152100.0,47,157,020532,15.47,5.35,48.67,0.344,47157020532
Census Tract 205.41; Shelby County; Tennessee,4362.0,40.3,59911.0,4362.0,600.0,2538.0,105.0,1742.0,1155.0,587.0,1282.0,158700.0,47,157,020541,13.76,4.14,66.3,0.257,47157020541
Census Tract 205.42; Shelby County; Tennessee,5229.0,26.7,43865.0,5229.0,796.0,2849.0,247.0,2156.0,439.0,1717.0,1048.0,186400.0,47,157,020542,15.22,8.67,20.36,0.287,47157020542
Census Tract 205.43; Shelby County; Tennessee,3047.0,33.4,43013.0,3047.0,603.0,1433.0,57.0,1386.0,290.0,1096.0,1177.0,79100.0,47,157,020543,19.79,3.98,20.92,0.328,47157020543
Census Tract 205.44; Shelby County; Tennessee,2885.0,30.4,33995.0,2854.0,801.0,1394.0,263.0,1154.0,364.0,790.0,953.0,204300.0,47,157,020544,28.07,18.87,31.54,0.336,47157020544
Census Tract 206.10; Shelby County; Tennessee,4322.0,33.9,54764.0,4322.0,533.0,2409.0,164.0,1653.0,499.0,1154.0,1079.0,192300.0,47,157,020610,12.33,6.81,30.19,0.236,47157020610
Census Tract 206.21; Shelby County; Tennessee,6997.0,30.9,50884.0,6997.0,469.0,4227.0,114.0,2930.0,1130.0,1800.0,1189.0,208100.0,47,157,020621,6.7,2.7,38.57,0.28,47157020621
